Survey	Location	id	Serial	Morph	C_Age	TL_mm	M_radius	Age	Radius	L	TL_inch	L2
9	Klondike Reef	122	LS04-2-13	Humper	17	405	1.27539	14	1.2455	394.9346026	15.5486064	395.5045185
9	Klondike Reef	122	LS04-2-13	Humper	17	405	1.27539	15	1.25316	397.5140922	15.65016111	397.9396645
9	Klondike Reef	122	LS04-2-13	Humper	17	405	1.27539	16	1.26565	401.7200746	15.81575097	401.9077526
9	Klondike Reef	122	LS04-2-13	Humper	17	405	1.27539	17	1.27539	405	15.94488189	405
9	Klondike Reef	123	LS04-2-14	Humper	19	452	1.67545	1	0.37185	87.34747411	3.438876933	98.47106888
9	Klondike Reef	123	LS04-2-14	Humper	19	452	1.67545	2	0.52368	129.8184721	5.110963469	144.1336017
9	Klondike Reef	123	LS04-2-14	Humper	19	452	1.67545	3	0.7144	183.1680653	7.211341156	198.9544553
9	Klondike Reef	123	LS04-2-14	Humper	19	452	1.67545	4	0.86608	225.5971043	8.881775758	241.0793226
9	Klondike Reef	123	LS04-2-14	Humper	19	452	1.67545	5	0.95253	249.7795305	9.833839784	264.6192463
9	Klondike Reef	123	LS04-2-14	Humper	19	452	1.67545	6	1.01481	267.2009476	10.51972235	281.3925546
9	Klondike Reef	123	LS04-2-14	Humper	19	452	1.67545	7	1.10553	292.5778095	11.5188114	305.5723161
9	Klondike Reef	123	LS04-2-14	Humper	19	452	1.67545	8	1.20228	319.6414271	12.58430815	331.0566833
9	Klondike Reef	123	LS04-2-14	Humper	19	452	1.67545	9	1.27813	340.8587438	13.41963558	350.8357526
9	Klondike Reef	123	LS04-2-14	Humper	19	452	1.67545	10	1.33909	357.9109208	14.09098113	366.6134215
9	Klondike Reef	123	LS04-2-14	Humper	19	452	1.67545	11	1.40153	375.3770943	14.77862576	382.6707551
9	Klondike Reef	123	LS04-2-14	Humper	19	452	1.67545	12	1.47016	394.5747798	15.53444015	400.2054833
9	Klondike Reef	123	LS04-2-14	Humper	19	452	1.67545	13	1.51169	406.1918551	15.99180532	410.7606581
9	Klondike Reef	123	LS04-2-14	Humper	19	452	1.67545	14	1.55941	419.5404425	16.51734026	422.8393634
9	Klondike Reef	123	LS04-2-14	Humper	19	452	1.67545	15	1.6055	432.4330744	17.02492419	434.4566876
9	Klondike Reef	123	LS04-2-14	Humper	19	452	1.67545	16	1.62363	437.5045306	17.22458782	439.0136969
9	Klondike Reef	123	LS04-2-14	Humper	19	452	1.67545	17	1.6416	442.5312304	17.42248939	443.5235004
9	Klondike Reef	123	LS04-2-14	Humper	19	452	1.67545	18	1.65763	447.0152593	17.59902596	447.5406346
9	Klondike Reef	123	LS04-2-14	Humper	19	452	1.67545	19	1.67545	452	17.79527559	452
9	Klondike Reef	124	LS04-2-15	Humper	17	428	1.55516	1	0.42713	104.7843034	4.125366276	116.3077132
9	Klondike Reef	124	LS04-2-15	Humper	17	428	1.55516	2	0.57668	147.6350321	5.812402837	161.1773146
9	Klondike Reef	124	LS04-2-15	Humper	17	428	1.55516	3	0.76328	201.1017386	7.917391283	215.0382269
9	Klondike Reef	124	LS04-2-15	Humper	17	428	1.55516	4	0.87565	233.2992403	9.18500946	246.5995068
9	Klondike Reef	124	LS04-2-15	Humper	17	428	1.55516	5	0.96141	257.8721489	10.15244681	270.3205748
9	Klondike Reef	124	LS04-2-15	Humper	17	428	1.55516	6	1.03152	277.9608456	10.94334038	289.5024013
9	Klondike Reef	124	LS04-2-15	Humper	17	428	1.55516	7	1.0944	295.9779223	11.6526741	306.5580146
9	Klondike Reef	124	LS04-2-15	Humper	17	428	1.55516	8	1.15927	314.5651959	12.38445653	324.0166198
9	Klondike Reef	124	LS04-2-15	Humper	17	428	1.55516	9	1.21925	331.7513323	13.06107607	340.0431309
9	Klondike Reef	124	LS04-2-15	Humper	17	428	1.55516	10	1.28317	350.0664013	13.78214178	357.0068365
9	Klondike Reef	124	LS04-2-15	Humper	17	428	1.55516	11	1.34689	368.3241641	14.50095134	373.8053231
9	Klondike Reef	124	LS04-2-15	Humper	17	428	1.55516	12	1.39257	381.4129056	15.01625613	385.7823915
9	Klondike Reef	124	LS04-2-15	Humper	17	428	1.55516	13	1.42047	389.4071238	15.33098912	393.0717204
9	Klondike Reef	124	LS04-2-15	Humper	17	428	1.55516	14	1.47143	404.0087495	15.90585628	406.3367917
9	Klondike Reef	124	LS04-2-15	Humper	17	428	1.55516	15	1.49966	412.097523	16.22431193	413.6586258
9	Klondike Reef	124	LS04-2-15	Humper	17	428	1.55516	16	1.52513	419.3954705	16.5116327	420.2488099
9	Klondike Reef	124	LS04-2-15	Humper	17	428	1.55516	17	1.55516	428	16.8503937	428
9	Klondike Reef	125	LS04-2-16	Humper	22	498	1.72336	1	0.39097	97.91348585	3.854861648	108.2025519
9	Klondike Reef	125	LS04-2-16	Humper	22	498	1.72336	2	0.52189	137.2257941	5.40259032	149.9372586
9	Klondike Reef	125	LS04-2-16	Humper	22	498	1.72336	3	0.61276	164.5119953	6.476850208	178.1917899
9	Klondike Reef	125	LS04-2-16	Humper	22	498	1.72336	4	0.74462	204.1065642	8.035691506	218.3705163
9	Klondike Reef	125	LS04-2-16	Humper	22	498	1.72336	5	0.85332	236.7467102	9.320736623	250.8827367
9	Klondike Reef	125	LS04-2-16	Humper	22	498	1.72336	6	0.96298	269.6751224	10.6171308	283.2092458
9	Klondike Reef	125	LS04-2-16	Humper	22	498	1.72336	7	1.04504	294.3158803	11.58723938	307.1253421
9	Klondike Reef	125	LS04-2-16	Humper	22	498	1.72336	8	1.12088	317.0889131	12.48381548	329.0398311
9	Klondike Reef	125	LS04-2-16	Humper	22	498	1.72336	9	1.18127	335.2226612	13.19774257	346.3696522
9	Klondike Reef	125	LS04-2-16	Humper	22	498	1.72336	10	1.25074	356.0829274	14.01901289	366.1817073
9	Klondike Reef	125	LS04-2-16	Humper	22	498	1.72336	11	1.32206	377.4987067	14.86215381	386.3921675
9	Klondike Reef	125	LS04-2-16	Humper	22	498	1.72336	12	1.37267	392.6957425	15.4604623	400.6587796
9	Klondike Reef	125	LS04-2-16	Humper	22	498	1.72336	13	1.42571	408.6224522	16.08749812	415.5466444
9	Klondike Reef	125	LS04-2-16	Humper	22	498	1.72336	14	1.47409	423.1498695	16.65944368	429.0718429
9	Klondike Reef	125	LS04-2-16	Humper	22	498	1.72336	15	1.51292	434.8096383	17.1184897	439.890848
9	Klondike Reef	125	LS04-2-16	Humper	22	498	1.72336	16	1.54727	445.1241646	17.52457341	449.4354154
9	Klondike Reef	125	LS04-2-16	Humper	22	498	1.72336	17	1.58915	457.6997793	18.01967635	461.0399284
9	Klondike Reef	125	LS04-2-16	Humper	22	498	1.72336	18	1.63002	469.9721138	18.50283913	472.3312392
9	Klondike Reef	125	LS04-2-16	Humper	22	498	1.72336	19	1.65624	477.8453855	18.81281045	479.558228
9	Klondike Reef	125	LS04-2-16	Humper	22	498	1.72336	20	1.67494	483.4605716	19.03388077	484.7045684
9	Klondike Reef	125	LS04-2-16	Humper	22	498	1.72336	21	1.70321	491.9494118	19.36808708	492.4723078
9	Klondike Reef	125	LS04-2-16	Humper	22	498	1.72336	22	1.72336	498	19.60629921	498
9	Klondike Reef	126	LS04-2-17	Redfin	29	508	1.55272	1	0.39369	109.8312725	4.324065847	116.1988064
9	Klondike Reef	126	LS04-2-17	Redfin	29	508	1.55272	2	0.47198	136.7267193	5.382941704	144.0189417
9	Klondike Reef	126	LS04-2-17	Redfin	29	508	1.55272	3	0.55264	164.4363468	6.47387192	172.3564975
9	Klondike Reef	126	LS04-2-17	Redfin	29	508	1.55272	4	0.63752	193.5956969	7.621877831	201.8764941
9	Klondike Reef	126	LS04-2-17	Redfin	29	508	1.55272	5	0.70824	217.8905749	8.57836909	226.2681619
